,Code_postal,revenu_fiscal_moyen
318,7100.0,22041.58330350111
319,7110.0,19731.833920877398
320,7120.0,21199.17093167702
321,7130.0,31337.48379544054
322,7140.0,20182.202445652176
323,7150.0,21550.706299659476
324,7160.0,22084.499597963008
325,7170.0,21763.267724867725
326,7190.0,17975.47244094488
327,7200.0,22469.778229332784
328,7210.0,26547.816566825037
329,7220.0,23490.65278957802
330,7230.0,20957.07942543304
331,7240.0,20484.617063492064
332,7250.0,21448.028686687583
333,7260.0,19715.389859394974
334,7270.0,19006.38907376595
335,7290.0,23028.68406816338
336,7300.0,24190.266737719216
337,7310.0,18900.678220681686
338,7320.0,19298.38708133971
339,7330.0,18450.705103969758
340,7340.0,28045.916812354313
341,7350.0,23889.724307692308
342,7360.0,22338.695137157105
343,7370.0,23238.762976573267
344,7380.0,20429.61300901886
345,7400.0,21947.091978730627
346,7410.0,20332.628102836883
347,7430.0,28425.75203655871
348,7440.0,21676.48319892473
349,7450.0,15662.925190839696
350,7460.0,20576.337436332768
351,7470.0,17515.678409090913
352,7500.0,26928.495079033702
353,7510.0,16555.16326530612
354,7520.0,16827.026392961878
355,7530.0,17942.383606557374
356,7560.0,18440.827956989247
357,7570.0,17317.731767614336
358,7580.0,21084.361904761903
359,7590.0,15834.340471092079
360,7600.0,19415.051119177253
361,7610.0,24947.887952822242
362,7630.0,15522.008064516129
363,7660.0,19523.166666666664
364,7690.0,20723.3523150612
365,7700.0,23498.645861107747
366,7790.0,25143.402159244262
367,7800.0,23720.531107739
368,48250.0,18605.340425531915
369,8000.0,20501.137469622867
370,8090.0,30815.225875486376
371,8110.0,20366.70117703579
372,8120.0,18121.374694162878
373,8130.0,21535.525269262635
374,8140.0,23228.202368951614
375,8150.0,23112.097308986067
376,8160.0,24563.685814771394
377,8170.0,19530.697276046052
378,8190.0,23623.15507095881
379,8200.0,18892.401923076926
380,8210.0,20327.084705882353
381,8220.0,20091.796785899427
382,8230.0,20935.221647433347
383,8240.0,19332.613278576315
384,8250.0,19619.70916609235
385,8260.0,20246.121475054228
386,8270.0,22295.45958429562
387,8290.0,17916.880222841224
388,8300.0,23387.317344915497
389,8310.0,27527.818260120588
390,8320.0,23279.178997613366
391,8330.0,21033.034763715375
392,8350.0,22935.186188219363
393,8360.0,21810.700801424755
394,8370.0,21620.439710610935
395,8380.0,19052.983162518303
396,8390.0,20328.937037037038
397,8400.0,20939.198090692127
398,8410.0,23004.814126394052
399,8430.0,25468.374447717222
400,8440.0,23722.701048951047
401,8450.0,21631.518518518515
402,8460.0,22268.254891000557
403,8500.0,18850.678077203207
404,8600.0,22622.560278352455
405,8700.0,20300.171465725434
406,8800.0,21748.355042016807
407,9000.0,23180.863609291242
408,9100.0,20781.02739381754
409,9110.0,21466.324588163512
410,9120.0,22875.455145390802
411,9130.0,18366.289724072314
412,9140.0,17114.79484304933
413,9160.0,19902.630672027575
414,9190.0,23716.444015444013
415,9200.0,19940.290108191653
416,9210.0,21299.03839441536
417,9220.0,19307.71048951049
418,9230.0,17339.251641137856
419,9240.0,17361.61102941176
420,9250.0,21662.178282009725
421,9270.0,21095.907381934892
422,9290.0,17291.428093645485
423,9300.0,18222.074387822635
424,9310.0,22845.554721030046
425,9320.0,14404.230158730159
426,9330.0,24178.262202043134
427,9340.0,25876.33455076698
428,9350.0,16959.887687687686
429,9390.0,16019.604166666668
430,9400.0,20171.147515222943
431,9420.0,18092.8785046729
432,9460.0,18009.91417910448
433,9500.0,20313.42922484352
434,9600.0,19512.87712958183
435,9700.0,21725.926181739695
436,9800.0,17222.05957883924
437,10000.0,19229.23642336809
438,10100.0,19424.88041466124
439,10110.0,30191.327102803738
440,10120.0,25688.63637374861
441,10130.0,21603.525874125873
442,10140.0,22095.275842044135
443,10150.0,26752.876056741654
444,10160.0,22762.38120805369
445,10170.0,25191.628549501147
446,10180.0,30898.722857142857
447,10190.0,24368.746365387982
448,10200.0,26191.29374798582
449,10210.0,22277.23017573939
450,10220.0,27027.865912762518
451,10230.0,26059.96716826265
452,10240.0,25753.544488711817
